,nengappi,win_rate,continuous_rate,double_win_rate,win_recovery_rate,double_win_recovery_rate
0,20190105,0.0,0.0,25.0,0.0,282.5
1,20190106,16.67,16.67,16.67,75.0,21.67
2,20190112,0.0,25.0,25.0,0.0,65.0
3,20190113,0.0,9.09,18.18,0.0,35.45
4,20190114,14.29,28.57,28.57,481.43,125.71
5,20190119,0.0,0.0,0.0,0.0,0.0
6,20190120,10.0,30.0,35.0,38.5,82.0
7,20190126,6.67,20.0,26.67,22.67,48.0
8,20190127,0.0,7.69,15.38,0.0,71.54
9,20190202,7.14,14.29,14.29,42.86,35.0
10,20190203,0.0,0.0,0.0,0.0,0.0
11,20190209,0.0,8.33,8.33,0.0,123.33
12,20190210,0.0,10.0,10.0,0.0,177.0
13,20190216,13.33,26.67,26.67,305.33,102.0
14,20190217,16.67,16.67,25.0,102.5,164.17
15,20190223,10.0,10.0,20.0,21.0,120.0
16,20190224,6.25,18.75,37.5,201.88,164.38
17,20190302,0.0,0.0,5.56,0.0,6.11
18,20190303,9.09,9.09,27.27,22.73,52.73
19,20190309,8.33,16.67,16.67,26.67,28.33
20,20190310,18.18,36.36,36.36,344.55,139.09
21,20190316,7.14,14.29,35.71,32.86,65.71
22,20190317,11.11,11.11,11.11,107.78,36.67
23,20190323,0.0,0.0,22.22,0.0,115.56
24,20190324,20.0,30.0,40.0,41.0,233.0
25,20190330,18.18,18.18,18.18,137.27,26.36
26,20190331,0.0,22.22,22.22,0.0,94.44
27,20190406,0.0,7.14,14.29,0.0,35.0
28,20190407,0.0,0.0,0.0,0.0,0.0
29,20190413,15.38,23.08,30.77,105.38,104.62
30,20190414,0.0,14.29,21.43,0.0,34.29
31,20190420,0.0,7.14,7.14,0.0,9.29
32,20190421,19.05,28.57,28.57,190.0,136.67
33,20190427,14.29,14.29,14.29,80.71,27.14
34,20190428,0.0,0.0,22.22,0.0,41.11
35,20190429,0.0,8.33,8.33,0.0,108.33
36,20190504,7.69,15.38,15.38,36.92,45.38
0,20190505,0.0,0.0,11.76,0.0,30.0
